"x","x^2","x^3"
-2.000,4.000,-8.000
-1.900,3.610,-6.859
-1.800,3.240,-5.832
-1.700,2.890,-4.913
-1.600,2.560,-4.096
-1.500,2.250,-3.375
-1.400,1.960,-2.744
-1.300,1.690,-2.197
-1.200,1.440,-1.728
-1.100,1.210,-1.331
-1.000,1.000,-1.000
-0.900,0.810,-0.729
-0.800,0.640,-0.512
-0.700,0.490,-0.343
-0.600,0.360,-0.216
-0.500,0.250,-0.125
-0.400,0.160,-0.064
-0.300,0.090,-0.027
-0.200,0.040,-0.008
-0.100,0.010,-0.001
0.000,0.000,0.000
0.100,0.010,0.001
0.200,0.040,0.008
0.300,0.090,0.027
0.400,0.160,0.064
0.500,0.250,0.125
0.600,0.360,0.216
0.700,0.490,0.343
0.800,0.640,0.512
0.900,0.810,0.729
1.000,1.000,1.000
1.100,1.210,1.331
1.200,1.440,1.728
1.300,1.690,2.197
1.400,1.960,2.744
1.500,2.250,3.375
1.600,2.560,4.096
1.700,2.890,4.913
1.800,3.240,5.832
1.900,3.610,6.859
2.000,4.000,8.000
